Token          Lexeme
-------------------------------
OPERATOR       =
OPERATOR       !=
OPERATOR       >
OPERATOR       <
OPERATOR       <=
OPERATOR       =>
OPERATOR       +
OPERATOR       -
OPERATOR       *
OPERATOR       /
OPERATOR       ==
OPERATOR       +-**
SEPARATOR      @
SEPARATOR      {
SEPARATOR      }
SEPARATOR      ;
SEPARATOR      ,
SEPARATOR      (
SEPARATOR      )
OPERATOR       =
SEPARATOR      @)(
KEYWORD        function
KEYWORD        integer
KEYWORD        boolean
KEYWORD        if
KEYWORD        return
KEYWORD        while
KEYWORD        else
KEYWORD        get
KEYWORD        put
KEYWORD        true
KEYWORD        false
KEYWORD        real
KEYWORD        put
INTEGER        1
INTEGER        1000
INTEGER        99
INTEGER        00000000000000
REAL           234.567
REAL           9.000001
REAL           000.00
IDENTIFIER     zZZZ
IDENTIFIER     Zzzz
IDENTIFIER     a1z4r
IDENTIFIER     zbcde12345x
IDENTIFIER     x
IDENTIFIER     Integer
IDENTIFIER     FI
IDENTIFIER     Put
IDENTIFIER     endif
UNKNOWN        $
UNKNOWN        _
UNKNOWN        asd12
UNKNOWN        23rty
UNKNOWN        000.
UNKNOWN        .123
